term 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102
агрегатор 0 0 0 0 0 0 0 0 0 0.000739 0.000792 0.000425 0.001325 0.000871 0.000933 0.000867 0.000635 0.000877 0.00105 0.000705 0.001067 0.000603 0.000953 0.00073 0.001232 0.000923 0.000962 0.000945 0.001078 0.000886 0.000736 0.000709 0.001008 0.001235 0.001095 0.000981 0.000622 0.000623 0.000625 0.000639 0.000636 0.00063 0.000633 0.001247 0.000652 0.000653 0.000646 0.000336 0.000424 0.001294 0.00112 0.000573 0.000342 0.000418 0.000915 0.000826 0.000991 0.001346 0.001238 0.001318 0.0006 0.000762 0.000433 0.00042 0.000345 0.000319 0.000343 0.00085 0.000829 0.001182 0.000632 0.001042 0.000432 0.001326 0.000926 0.000425 0.000843 0.000678 0.000678 0.000687 0.000343 0.000345 0.000434 0.000344 0.00135 0.001325 0.001351 0.000344 0.000609 0.000546 0.000928 0.000339 0.000634 0.000674 0.001031 0.00034 0.001048 0.001088 0.001131 0.000687 0.001148 0.001225
агрегация 0 0 0 0 0 0 0.014655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000603 0 0 0 0 0 0 0 0 0 0 0 0 0.001095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адаптация 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адаптировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000705 0 0 0 0 0 0 0 0 0 0 0.000736 0 0 0 0 0.000981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адекватно 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000336 0 0 0 0 0.000342 0 0 0 0 0 0 0 0 0 0 0 0.000345 0.000638 0.000343 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000343 0.000345 0 0.000344 0 0 0 0.000344 0 0 0 0.000339 0 0 0 0.00034 0 0 0 0 0 0
адекватный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000622 0.000623 0.000625 0.000639 0.000636 0.00063 0.000633 0 0.000652 0.000653 0.000646 0 0 0 0 0.000573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000678 0.000678 0.000687 0 0 0 0 0 0 0 0 0.000609 0 0.000928 0 0.000634 0.000674 0 0 0 0 0 0.000687 0 0
администратор 0 0 0 0 0 0 0 0 0 0 0 0.000425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000546 0 0 0 0 0 0 0 0 0 0 0 0
администрацией 0 0 0 0 0 0 0 0 0 0 0.00317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрация 0 0 0 0 0 0 0 0 0 0 0.014263 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрирование 0 0 0 0 0 0 0 0 0 0.000739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адрес 0 0.001653 0.001821 0 0.001274 0 0 0 0 0 0.001585 0.002976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аз 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000635 0 0 0 0 0 0 0.00073 0 0 0 0 0 0 0 0 0 0 0 0.000981 0.000622 0.000623 0.000625 0.000639 0.000636 0.00063 0.000633 0 0.000652 0.000653 0.000646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
азов 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000849 0 0 0 0 0.000836 0 0 0 0 0 0 0.0012 0 0.000867 0.00084 0 0 0.000343 0 0 0 0 0 0.000865 0 0 0.00085 0 0.000678 0.000678 0.000687 0 0 0.000867 0 0 0 0 0 0 0 0 0 0 0.000674 0 0 0 0 0 0.000687 0 0
аи 0 0 0 0 0 0 0 0 0 0 0 0.001276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
айтишник 0 0 0 0 0 0 0 0 0 0.000739 0 0 0 0 0 0 0 0 0 0 0 0.000603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
академический 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886 0 0 0.001008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
академия 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029488 0 0 0 0 0.003202 0.001809 0.00286 0 0.003695 0.002768 0.002887 0.002836 0.012931 0 0.002209 0.002126 0 0.003704 0 0 0 0 0 0 0 0 0 0.001247 0 0 0 0 0 0 0 0 0 0 0.000915 0 0 0 0 0.001318 0 0.002285 0 0 0 0 0 0 0 0.003546 0 0.004167 0 0 0.000926 0 0.00253 0 0 0 0 0 0 0 0.00135 0.001325 0.001351 0 0 0 0.001855 0 0 0 0 0 0 0 0 0 0 0.001225
акимов 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000635 0 0 0 0 0 0 0.00073 0 0 0 0 0 0 0 0 0 0 0 0 0.000622 0.000623 0.000625 0.000639 0.000636 0.00063 0.000633 0 0.000652 0.000653 0.000646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аккаунт 0 0 0.000911 0 0 0 0 0 0.003576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000424 0 0 0 0 0.000418 0 0 0 0 0 0 0 0 0.000433 0.00042 0 0 0 0 0 0 0 0 0.000432 0 0 0.000425 0 0.000678 0.000678 0.000687 0 0 0.000434 0 0 0 0 0 0 0 0 0 0.000634 0.000674 0 0 0 0 0 0.000687 0 0
аккредитовать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аккуратность 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аксессуар 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
акт 0 0 0 0 0 0 0 0 0 0 0 0.002126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00224 0 0 0 0 0 0 0 0 0 0 0.000762 0 0 0 0 0 0 0 0.001182 0 0 0 0.001326 0.000926 0 0.000843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001031 0 0 0.001088 0.001131 0 0.001148 0
актив 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000762 0 0 0 0 0 0 0 0.001182 0 0 0 0 0.001852 0 0.000843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000339 0 0 0 0.001362 0 0 0 0 0 0
активировать 0 0 0.000911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активно 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000849 0 0 0 0 0.000836 0 0 0 0 0 0 0.0012 0 0.000867 0.00084 0 0 0 0 0 0 0 0 0.000865 0.001326 0 0.00085 0 0 0 0 0 0 0.000867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активность 0 0 0 0 0 0 0 0 0.002384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активный 0 0 0 0 0.001274 0 0 0 0.002384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуализировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001031 0 0 0.002176 0 0 0 0
актуально 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000424 0 0 0 0 0.000418 0 0 0 0 0 0 0.0006 0 0.000433 0.00042 0 0 0 0 0 0 0 0 0.000432 0 0 0.000425 0 0 0 0 0 0 0.000434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальноить 0 0 0 0 0 0 0 0 0 0 0 0.000425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальность 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000424 0 0 0 0 0.000418 0 0 0 0 0 0 0.0006 0 0.000433 0.00042 0 0 0 0 0 0 0 0 0.000432 0 0 0.000425 0 0 0 0 0 0 0.000434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000336 0.002122 0.001294 0 0.00172 0.000342 0.002091 0 0 0 0 0 0 0 0.000762 0.002166 0.002099 0.000345 0.000319 0.000685 0.00085 0 0 0.001896 0 0.002162 0 0.000926 0.002549 0.001686 0 0.000678 0 0.000343 0.000345 0.002168 0.000344 0 0 0 0.000344 0.001827 0.000546 0.000928 0.000339 0 0 0 0.00034 0 0.001088 0.004525 0 0 0
актёр 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
