term 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102
автоматически 0 0 0 0 0 0.008549 0 0 0 0 0 0.005551 0 0 0 0 0 0 0 0.003067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002989 0 0
автоматический 0 0 0 0 0 0 0 0 0 0 0.003446 0.001849 0 0 0 0 0 0 0 0 0 0.002623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002758 0 0 0 0 0 0 0 0 0
автомобиль 0 0 0 0 0 0 0 0 0.006762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автономный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002465 0 0 0 0 0 0 0 0 0 0 0 0 0.004476 0 0 0 0 0 0 0 0 0.005097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004214 0 0 0 0 0 0 0
автор 0 0 0 0 0 0 0 0 0 0.000261 0.000280 0.000100 0.000312 0.000411 0.000550 0.000204 0.000150 0.000620 0.000371 0.000166 0.000377 0.000213 0.000337 0.000172 0.000435 0.000326 0.000340 0.000334 0.000381 0.000209 0.000260 0.000251 0.000238 0.000436 0.000387 0.000347 0.000146 0.000147 0.000147 0.000151 0.000150 0.000148 0.000149 0.000441 0.000154 0.000154 0.000152 0.000079 0.000100 0.000305 0.000264 0.000135 0.000081 0.000099 0.000323 0.000292 0.000467 0.000317 0.000292 0.000310 0.000141 0.000269 0.000102 0.000099 0.000081 0.000075 0.000081 0.000200 0.000293 0.000418 0.000149 0.000245 0.000102 0.000313 0.000327 0.000100 0.000298 0.000160 0.000160 0.000162 0.000081 0.000081 0.000102 0.000081 0.000318 0.000312 0.000319 0.000081 0.000144 0.000129 0.000219 0.000080 0.000224 0.000159 0.000243 0.000080 0.000247 0.000256 0.000267 0.000162 0.000271 0.000578
авторитарный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.007340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
авторитет 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.005264 0 0 0 0 0 0 0 0 0 0 0
авторский 0 0 0 0 0 0 0 0 0 0.002044 0.004383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002035 0.001961 0 0.003415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000949 0 0.002293 0.009807 0 0 0 0 0 0.002351 0.009328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.005703 0 0 0.006018 0.003128 0 0.003175 0
агентство 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001997 0 0 0.006657 0 0.002036 0 0 0 0 0 0 0 0 0 0 0 0.002048 0.001896 0.002036 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002036 0.002054 0 0.002045 0 0 0 0.002042 0 0 0 0.002015 0 0 0 0.002024 0 0 0 0 0 0
агрегатор 0 0 0 0 0 0 0 0 0 0.000087 0.000093 0.000050 0.000156 0.000103 0.000110 0.000102 0.000075 0.000103 0.000124 0.000083 0.000126 0.000071 0.000112 0.000086 0.000145 0.000109 0.000113 0.000111 0.000127 0.000104 0.000087 0.000084 0.000119 0.000146 0.000129 0.000116 0.000073 0.000073 0.000074 0.000075 0.000075 0.000074 0.000075 0.000147 0.000077 0.000077 0.000076 0.000040 0.000050 0.000152 0.000132 0.000068 0.000040 0.000049 0.000108 0.000097 0.000117 0.000159 0.000146 0.000155 0.000071 0.000090 0.000051 0.000049 0.000041 0.000038 0.000040 0.000100 0.000098 0.000139 0.000074 0.000123 0.000051 0.000156 0.000109 0.000050 0.000099 0.000080 0.000080 0.000081 0.000040 0.000041 0.000051 0.000041 0.000159 0.000156 0.000159 0.000041 0.000072 0.000064 0.000109 0.000040 0.000075 0.000079 0.000121 0.000040 0.000123 0.000128 0.000133 0.000081 0.000135 0.000144
агрегация 0 0 0 0 0 0 0.068474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002817 0 0 0 0 0 0 0 0 0 0 0 0 0.005116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адаптация 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адаптировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003067 0 0 0 0 0 0 0 0 0 0 0.003202 0 0 0 0 0.004268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.005856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адекватно 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001037 0 0 0 0 0.001056 0 0 0 0 0 0 0 0 0 0 0 0.001065 0.001970 0.001059 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001059 0.001065 0 0.001062 0 0 0 0.001062 0 0 0 0.001047 0 0 0 0.001050 0 0 0 0 0 0
адекватный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001418 0.001421 0.001425 0.001457 0.001450 0.001436 0.001443 0 0.001487 0.001489 0.001473 0 0 0 0 0.001307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001546 0.001546 0.001566 0 0 0 0 0 0 0 0 0.001389 0 0.002116 0 0.001446 0.001537 0 0 0 0 0 0.001566 0 0
администратор 0 0 0 0 0 0 0 0 0 0 0 0.002162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002778 0 0 0 0 0 0 0 0 0 0 0 0
администрацией 0 0 0 0 0 0 0 0 0 0 0.017982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрация 0 0 0 0 0 0 0 0 0 0 0.080906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрирование 0 0 0 0 0 0 0 0 0 0.004192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
администрировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
адрес 0 0.006389 0.007038 0 0.004924 0 0 0 0 0 0.006126 0.011502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аз 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001819 0 0 0 0 0 0 0.002092 0 0 0 0 0 0 0 0 0 0 0 0.002811 0.001782 0.001785 0.001791 0.001831 0.001822 0.001805 0.001814 0 0.001868 0.001871 0.001851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
азов 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002348 0 0 0 0 0.002312 0 0 0 0 0 0 0.003319 0 0.002398 0.002323 0 0 0.000949 0 0 0 0 0 0.002392 0 0 0.002351 0 0.001875 0.001875 0.001900 0 0 0.002398 0 0 0 0 0 0 0 0 0 0 0.001864 0 0 0 0 0 0.001900 0 0
аи 0 0 0 0 0 0 0 0 0 0 0 0.007238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
айтишник 0 0 0 0 0 0 0 0 0 0.003760 0 0 0 0 0 0 0 0 0 0 0 0.003068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
академический 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004140 0 0 0.004710 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
академия 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.058150 0 0 0 0 0.006314 0.003567 0.005640 0 0.007286 0.005458 0.005693 0.005593 0.025500 0 0.004356 0.004192 0 0.007304 0 0 0 0 0 0 0 0 0 0.002459 0 0 0 0 0 0 0 0 0 0 0.001804 0 0 0 0 0.002599 0 0.004506 0 0 0 0 0 0 0 0.006993 0 0.008217 0 0 0.001826 0 0.004989 0 0 0 0 0 0 0 0.002662 0.002613 0.002664 0 0 0 0.003658 0 0 0 0 0 0 0 0 0 0 0.002416
акимов 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001887 0 0 0 0 0 0 0.002170 0 0 0 0 0 0 0 0 0 0 0 0 0.001849 0.001852 0.001857 0.001899 0.001890 0.001872 0.001881 0 0.001938 0.001941 0.001920 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аккаунт 0 0 0.002435 0 0 0 0 0 0.009557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001133 0 0 0 0 0.001117 0 0 0 0 0 0 0 0 0.001157 0.001122 0 0 0 0 0 0 0 0 0.001154 0 0 0.001136 0 0.001812 0.001812 0.001836 0 0 0.001160 0 0 0 0 0 0 0 0 0 0.001694 0.001801 0 0 0 0 0 0.001836 0 0
аккредитовать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аккуратность 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
аксессуар 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
акт 0 0 0 0 0 0 0 0 0 0 0 0.006564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006916 0 0 0 0 0 0 0 0 0 0 0.002353 0 0 0 0 0 0 0 0.003649 0 0 0 0.004094 0.002859 0 0.002603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003183 0 0 0.003359 0.003492 0 0.003544 0
актив 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002945 0 0 0 0 0 0 0 0.004569 0 0 0 0 0.007158 0 0.003258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001310 0 0 0 0.005264 0 0 0 0 0 0
активировать 0 0 0.005168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активно 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002845 0 0 0 0 0.002801 0 0 0 0 0 0 0.004021 0 0.002905 0.002814 0 0 0 0 0 0 0 0 0.002898 0.004443 0 0.002848 0 0 0 0 0 0 0.002905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активность 0 0 0 0 0 0 0 0 0.013523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
активный 0 0 0 0 0.005953 0 0 0 0.011139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуализировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004817 0 0 0.010167 0 0 0 0
актуально 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001421 0 0 0 0 0.001401 0 0 0 0 0 0 0.002010 0 0.001451 0.001407 0 0 0 0 0 0 0 0 0.001447 0 0 0.001424 0 0 0 0 0 0 0.001454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальноить 0 0 0 0 0 0 0 0 0 0 0 0.002411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальность 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001421 0 0 0 0 0.001401 0 0 0 0 0 0 0.002010 0 0.001451 0.001407 0 0 0 0 0 0 0 0 0.001447 0 0 0.001424 0 0 0 0 0 0 0.001454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
актуальный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000562 0.003549 0.002164 0 0.002877 0.000572 0.003497 0 0 0 0 0 0 0 0.001274 0.003622 0.003510 0.000577 0.000534 0.001146 0.001422 0 0 0.003171 0 0.003616 0 0.001549 0.004263 0.002820 0 0.001134 0 0.000574 0.000577 0.003626 0.000575 0 0 0 0.000575 0.003056 0.000913 0.001552 0.000567 0 0 0 0.000569 0 0.001820 0.007568 0 0 0
актёр 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
